0,1,2,3,4,5,6,7,8,9,10,11
745.3164208630202,897.1428041833434,1005.9485588919949,1064.3187526155916,1068.275553113177,1017.5493109697619,915.5969357583418,769.3663133653084,588.822819049218,386.27019358548006,175.51206366540848,0.0
750.2142525156198,901.6608327945399,1010.1506802655942,1068.29039111158,1072.117840118759,1021.3721929624502,919.5116816352087,773.4779316515326,593.2229017406264,391.03067430539744,180.6803155071018,0.0
754.9915408975664,906.0642073080431,1014.2456577462109,1072.1635051430078,1075.8707439121115,1025.1147318579083,923.3544073236166,777.5245682593611,597.563277202167,395.73459873748715,185.7928237650277,0.0
759.6479267056216,910.3528841373799,1018.2336852224106,1075.9384316482221,1079.5346403074973,1028.7772355231225,927.1252505505756,781.5061001778878,601.8434888559331,400.38112663979996,190.84834058222256,0.0
764.1831349251147,914.5268939193974,1022.1150187526215,1079.6155565151857,1083.1099405827024,1032.3600344557135,930.8243603685878,785.4224067147277,606.0630763475544,404.96941122628243,195.84561230593243,0.0
768.5969725516643,918.5863390377234,1025.8899740253119,1083.1953121176664,1086.597089225342,1035.8634798601531,934.4518956590834,789.2733684948696,610.2215750748925,409.4985992236444,200.78338003498666,0.0
772.8893262318461,922.5313910869618,1029.5589237821657,1086.6781748356402,1089.9965616821169,1039.2879417419015,938.0080236639627,793.0588664923347,614.3185157484554,413.9678309531241,205.6603801799816,3.59197195487868
777.0601598305373,926.3622882847774,1033.122295210507,1090.0646625649908,1093.3088621147324,1042.6338070217098,941.4929185460247,796.7787810940739,618.353423981788,418.3762404345257,210.47534503311073,8.81884022667617
781.1095119326633,930.0793328389568,1036.5805673110942,1093.3553322214113,1096.5345211660049,1045.9014776721592,944.9067599789189,800.4329911954162,622.3258199100552,422.7229555099159,215.2270033445383,13.978469650718896
785.0374932870175,933.6828882764236,1039.934268247271,1096.550777243255,1099.6740937395036,1049.0913688783223,948.249731767095,804.0213733262675,626.2352178349503,427.00709798436304,219.91408090228836,19.069213465477258
788.8442841997711,937.1733767410761,1043.183972681296,1099.6516250978973,1102.7281567958967,1052.2039072242849,951.5220204960965,807.543800807173,630.0811258940568,431.22778378113975,224.5353011127316,24.08942900720722
792.53013188519,940.5512762671839,1046.330299103519,1102.6585347960006,1105.697307168996,1055.2395289070948,954.723814213424,811.0001429342851,633.8630457527544,435.3841231088592,229.08938557885284,29.037478607232945
796.095347780974,943.8171180349166,1049.3739071598955,1105.572194417885,1108.582159404314,1058.1986779795602,957.8553011400803,814.390264192214,637.5804723167752,439.4752206380786,233.5750546736198,33.91173046776386
799.5403048354931,946.9714836144356,1052.3154949831371,1108.3933186560303,1111.3833436227935,1061.0818046231911,960.9166684128228,817.714023493711,641.2328934635327,443.50017568498794,237.99102810591825,38.71055951391289
802.8654347740521,950.015002204778,1055.1557965326315,1111.1226463775477,1114.1015034121874,1063.8893634524347,963.9081008570613,820.9712734450936,644.8197897903812,447.45808239990254,242.33602547667553,43.43234821979129
806.0712253511332,952.9483478735847,1057.8955789480378,1113.7609382102687,1116.7372937484274,1066.6218118512488,966.8297797902752,824.161859636332,648.3406343780249,451.34802995839453,246.60876682296762,48.07548740679372
809.158217595398,955.7722368035246,1060.5356399212928,1116.308974155936,1119.2913789491565,1069.2796083429523,969.6818818557788,827.2856199547107,651.7948925673568,455.16910275302627,250.80797314808436,52.638377012372985
812.1270030540067,958.4874245510456,1063.0768050915365,1118.7675512337685,1121.7644306614584,1071.8632109941855,972.4645778866109,830.3423839210077,655.182021748101,458.9203805837899,254.93236693572422,57.11942682788914
814.9782210426124,961.0947033228684,1065.519925467273,1121.137481157523,1124.1571258856854,1074.3730758537342,975.1780317993143,833.3319720471736,658.5014711577234,462.60093884551605,258.9806726466921,61.51705720430093
817.7125559071502,963.5948992754178,1067.8658748798657,1123.4195880489854,1126.4701450371526,1076.8096554269082,977.8223995173505,836.2541952145413,661.7526816891974,466.2098487106853,262.95161719667976,65.82969972475098
820.3307343033031,965.988869842136,1070.115547472257,1125.6147061906447,1128.7041700473367,1079.1733971860801,980.3978279238971,839.1088540716597,664.9350857063283,469.74617730623896,266.8439304139347,70.05579784330972
822.8335224992705,968.2775010933993,1072.269855226589,1127.723677820154,1130.8598825061174,1081.4647421179543,982.9044538437888,841.8957384509282,668.0481068654751,473.2089878831835,270.6563454758284,74.19380748940256
825.2217237072142,970.4617051335077,1074.3297255341993,1129.747350969001,1132.9379618464877,1083.6841233080925,985.3424030543902,844.6146268032937,671.0911599426688,476.5973399779801,274.3875993235859,78.24219763768735
827.4961754484702,972.5424175389672,1076.2960988112436,1131.6865773476584,1134.9390835730494,1085.8319645631766,987.7117893252115,847.2652856503653,674.063650665257,479.9102895648871,278.0364330546457,82.19945084338441
829.6577469573606,974.5205948420397,1078.169926162998,1133.542210279331,1136.8639175355365,1087.9086790714853,990.0127134861455,849.8474690534255,676.9649755473965,483.14688919866626,281.60159229236814,86.0640637433149
831.7073366281389,976.397212063282,1079.9521670996824,1135.315102684264,1138.7131262485143,1089.9146681020293,992.2452625242273,852.3609180989105,679.7945217288554,486.3061881472278,285.08182753302515,89.83454752312686
833.6458695093303,978.1732602965436,1081.643787306444,1137.006105116437,1140.4873632583276,1091.8503197427976,994.4095087089149,854.8053604000852,682.5516668167917,489.38723251404787,288.4758944702648,93.50942835144187
835.4742948494257,979.8497443496357,1083.2457564699375,1138.6160638543217,1142.1872715583017,1093.7160076785513,996.5055087459247,857.1805096147347,685.2357787303249,492.3890653503647,291.782554297436,97.0872477818624
